BROWSER,browser
0,Unknown
1,Others
2,Others
3,Others
4,Others
5,Others
6,Others
7,Others
8,Chrome 
9,Safari
10,Others
11,Others
12,Others
13,Others
14,Others
15,Others
16,Others
17,Others
18,Others
19,Edge
20,Others
21,Samsung Browser
22,Others
23,Others
24,Others
25,Others
26,Others
27,Others
28,Others
29,Others
30,Others
31,Others
32,Others
33,Others
34,Others
35,Others
36,Others
37,Others
38,Others
39,Others
40,Others
41,Others
42,Others
43,Others
